2026-01-19 18:51:37 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 18:51:37 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 18:51:37 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:51:37 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 18:51:37 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 19:31:15 | INFO     | TyanShanWeight.weighing_manager | Сброс взвешивания
2026-01-19 19:31:30 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 19:31:30 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 19:31:35 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 19:31:35 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 19:33:40 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 19:33:40 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 19:33:40 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 19:33:40 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 19:33:40 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 19:33:40 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 19:36:21 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 19:36:21 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 19:36:21 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 19:36:21 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 19:36:21 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 19:36:21 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 19:36:21 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-19 19:36:21 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 19:36:21 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 19:36:21 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 19:36:21 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 19:36:21 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 20:56:41 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-19 20:56:41 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 20:57:39 | INFO     | TyanShanWeight.weighing_manager | Сброс взвешивания
2026-01-20 11:24:59 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-20 11:24:59 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-20 12:51:32 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-20 12:51:32 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-20 15:07:08 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-20 15:07:08 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-20 16:14:16 | ERROR    | TyanShanWeight.scale_reader | Ошибка чтения: ClearCommError failed (OSError(22, 'Неверная функция.', None, 1))
2026-01-20 16:14:16 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-20 16:24:40 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-20 16:24:40 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-20 16:24:40 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-20 16:24:40 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-20 16:24:40 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-20 16:24:40 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
